territorialidade,ano,razao
AC,2012,18.87
AL,2012,13.03
AP,2012,14.69
AM,2012,21.3
BA,2012,18.51
CE,2012,16.85
DF,2012,24.06
ES,2012,12.02
GO,2012,11.1
MA,2012,12.93
MS,2012,11.17
MT,2012,11.87
MG,2012,12.89
PB,2012,14.34
PR,2012,11.61
PA,2012,15.67
PE,2012,19.55
PI,2012,12.81
RJ,2012,14.98
RN,2012,13.55
RS,2012,12.41
RO,2012,12.1
RR,2012,17.29
SC,2012,8.95
SP,2012,13.5
SE,2012,19.17
TO,2012,13.29
AC,2013,17.64
AL,2013,13.72
AP,2013,13.42
AM,2013,19.85
BA,2013,15.93
CE,2013,16.35
DF,2013,20.71
ES,2013,12.82
GO,2013,10.52
MA,2013,12.6
MS,2013,10.89
MT,2013,10.14
MG,2013,12.33
PB,2013,14.04
PR,2013,11.07
PA,2013,15.23
PE,2013,18.89
PI,2013,15.71
RJ,2013,14.09
RN,2013,13.38
RS,2013,11.26
RO,2013,11.32
RR,2013,17.58
SC,2013,8.62
SP,2013,13.35
SE,2013,19.06
TO,2013,13.9
AC,2014,15.23
AL,2014,15.06
AP,2014,14.68
AM,2014,18.09
BA,2014,15.15
CE,2014,14.67
DF,2014,20.35
ES,2014,12.99
GO,2014,10.18
MA,2014,11.36
MS,2014,10.9
MT,2014,10.43
MG,2014,12.25
PB,2014,14.82
PR,2014,10.38
PA,2014,13.44
PE,2014,18.56
PI,2014,14.33
RJ,2014,13.58
RN,2014,13.69
RS,2014,11.35
RO,2014,9.41
RR,2014,14.52
SC,2014,7.77
SP,2014,13.13
SE,2014,16.15
TO,2014,12.79
AC,2015,17.21
AL,2015,14.88
AP,2015,16.67
AM,2015,17.46
BA,2015,14.82
CE,2015,15.32
DF,2015,21.34
ES,2015,13.24
GO,2015,10.02
MA,2015,12.77
MS,2015,9.59
MT,2015,9.34
MG,2015,11.78
PB,2015,15.48
PR,2015,9.88
PA,2015,14.03
PE,2015,19
PI,2015,14.44
RJ,2015,12.95
RN,2015,14.25
RS,2015,10.54
RO,2015,10.48
RR,2015,15.62
SC,2015,7.98
SP,2015,13.67
SE,2015,16.13
TO,2015,13.27
AC,2016,18.95
AL,2016,14.89
AP,2016,17.66
AM,2016,17.83
BA,2016,16.33
CE,2016,16.77
DF,2016,20.76
ES,2016,13.6
GO,2016,10.74
MA,2016,14.55
MS,2016,10.79
MT,2016,9.9
MG,2016,12.28
PB,2016,15.04
PR,2016,11.25
PA,2016,13.68
PE,2016,19.02
PI,2016,15.46
RJ,2016,14.73
RN,2016,16.48
RS,2016,11.07
RO,2016,10.74
RR,2016,15.74
SC,2016,8.27
SP,2016,14.54
SE,2016,19.62
TO,2016,12.13
AC,2017,17.54
AL,2017,15.16
AP,2017,20.83
AM,2017,21.53
BA,2017,22.1
CE,2017,17.08
DF,2017,22.55
ES,2017,13.34
GO,2017,11.31
MA,2017,15.44
MS,2017,10.51
MT,2017,10.52
MG,2017,12.51
PB,2017,16.83
PR,2017,11.51
PA,2017,13.46
PE,2017,17.7
PI,2017,15.82
RJ,2017,14.21
RN,2017,15.08
RS,2017,11.46
RO,2017,9.74
RR,2017,14.54
SC,2017,7.96
SP,2017,14.79
SE,2017,17.83
TO,2017,12.45
AC,2018,18.96
AL,2018,18.17
AP,2018,17.02
AM,2018,16.78
BA,2018,17.66
CE,2018,17.21
DF,2018,19.71
ES,2018,13.6
GO,2018,11.04
MA,2018,15.75
MS,2018,12.11
MT,2018,10.5
MG,2018,12.41
PB,2018,17.51
PR,2018,12.15
PA,2018,18.42
PE,2018,16.25
PI,2018,16.07
RJ,2018,16.43
RN,2018,16.77
RS,2018,11.95
RO,2018,12.48
RR,2018,19.57
SC,2018,8.17
SP,2018,15.73
SE,2018,20.9
TO,2018,14.98
AC,2019,19.82
AL,2019,15.43
AP,2019,13.43
AM,2019,19.24
BA,2019,18.49
CE,2019,18.63
DF,2019,17.94
ES,2019,14.35
GO,2019,10.26
MA,2019,16.44
MS,2019,11.64
MT,2019,9.83
MG,2019,12.08
PB,2019,18.92
PR,2019,11.31
PA,2019,15.41
PE,2019,20.31
PI,2019,16.6
RJ,2019,17.53
RN,2019,18.12
RS,2019,11.39
RO,2019,10.96
RR,2019,20.93
SC,2019,8.29
SP,2019,14.73
SE,2019,21.21
TO,2019,15.43
