"estado","ano","populacao","homicidios","desigualdade","taxa_homicidios"
"BA",2012,14175341,6148,"18.51","43.37109068487311900000"
"BA",2013,15044137,5694,"15.93","37.84863166295281700000"
"BA",2014,15126371,6052,"15.15","40.00959648550204100000"
"BA",2015,15203334,6012,"14.82","39.54395792396588800000"
"BA",2016,15276566,7171,"16.33","46.94117774897840300000"
"BA",2017,15344447,7487,"22.1","48.79289556671543800000"
"BA",2018,14812617,6787,"17.66","45.81904737022499100000"
"BA",2019,14873064,6118,"18.49","41.13476550628707000000"
"RS",2012,10768025,2382,"12.41","22.12104819593193700000"
"RS",2013,11164043,2322,"11.26","20.79891666486773700000"
"RS",2014,11207274,2724,"11.35","24.30564292440784400000"
"RS",2015,11247972,2944,"10.54","26.17360711779865700000"
"RS",2016,11286500,3225,"11.07","28.57396004075665600000"
"RS",2017,11322895,3316,"11.46","29.28579660943601400000"
"RS",2018,11329605,2699,"11.95","23.82254279827054900000"
"RS",2019,11377239,2184,"11.39","19.19622150857514700000"
"PE",2012,8931028,3327,"19.55","37.25215059229463800000"
"PE",2013,9208550,3124,"18.89","33.92499362005961900000"
"PE",2014,9277727,3358,"18.56","36.19421006891019800000"
"PE",2015,9345173,3847,"19","41.16563706204261800000"
"PE",2016,9410336,4447,"19.02","47.25654854406899000000"
"PE",2017,9473266,5419,"17.7","57.20308075377594200000"
"PE",2018,9496294,4190,"16.25","44.12247556783730600000"
"PE",2019,9557071,3474,"20.31","36.35004908930780200000"
"PR",2012,10577755,3489,"11.61","32.98431472462729600000"
"PR",2013,10997465,2936,"11.07","26.69706155009359000000"
"PR",2014,11081692,2980,"10.38","26.89120036904111800000"
"PR",2015,11163018,2936,"9.88","26.30113110988444200000"
"PR",2016,11242720,3080,"11.25","27.39550571391976300000"
"PR",2017,11320892,2759,"11.51","24.37087112923610600000"
"PR",2018,11348937,2443,"12.15","21.52624514525016700000"
"PR",2019,11433957,2095,"11.31","18.32261569638577400000"
"GO",2012,6154996,2793,"11.1","45.37777116345810800000"
"GO",2013,6434048,2975,"10.52","46.23838678231806800000"
"GO",2014,6523222,2887,"10.18","44.25727041023592300000"
"GO",2015,6610681,2997,"10.02","45.33572259801978000000"
"GO",2016,6695855,3036,"10.74","45.34148364921283400000"
"GO",2017,6778772,2901,"11.31","42.79536175578703600000"
"GO",2018,6921161,2675,"11.04","38.64958494680300000000"
"GO",2019,7018354,2253,"10.26","32.10154403724862000000"
"SC",2012,6362734,821,"8.95","12.90325825344891000000"
"SC",2013,6634254,789,"8.62","11.89282170987122300000"
"SC",2014,6727148,905,"7.77","13.45295212770701600000"
"SC",2015,6819190,957,"7.98","14.03392485031213400000"
"SC",2016,6910553,984,"8.27","14.23909200898972900000"
"SC",2017,7001161,1066,"7.96","15.22604608007157700000"
"SC",2018,7075494,843,"8.17","11.91436244592957000000"
"SC",2019,7164788,767,"8.29","10.70513181967142600000"
