"estado","ano","homicidios","populacao","desigualdade","taxa_homicidios"
"AC",2012,208,758786,"18.87","27.41220844875893900000"
"AC",2013,234,776463,"17.64","30.13665815370468400000"
"AC",2014,232,790101,"15.23","29.36333456102447700000"
"AC",2015,217,803513,"17.21","27.00640811038527100000"
"AC",2016,363,816687,"18.95","44.44787293051071000000"
"AC",2017,516,829619,"17.54","62.19722547337994900000"
"AC",2018,409,869265,"18.96","47.05124444214365000000"
"AC",2019,325,881935,"19.82","36.85078832340251800000"
"AL",2012,2046,3165472,"13.03","64.63491068630523300000"
"AL",2013,2148,3300935,"13.72","65.07247189054010500000"
"AL",2014,2085,3321730,"15.06","62.76849713853925500000"
"AL",2015,1748,3340932,"14.88","52.32072966465644900000"
"AL",2016,1820,3358963,"14.89","54.18338933772119500000"
"AL",2017,1813,3375823,"15.16","53.70542235182354100000"
"AL",2018,1441,3322820,"18.17","43.36677882039954000000"
"AL",2019,1115,3337357,"15.43","33.40967118591148600000"
"AM",2012,1344,3590985,"21.3","37.42705692170811100000"
"AM",2013,1191,3807921,"19.85","31.27690936865549500000"
"AM",2014,1240,3873743,"18.09","32.01038375545305900000"
"AM",2015,1472,3938336,"17.46","37.37619136609979400000"
"AM",2016,1452,4001667,"17.83","36.28487827697806900000"
"AM",2017,1674,4063614,"21.53","41.19485758243770200000"
"AM",2018,1542,4080611,"16.78","37.78845864013992000000"
"AM",2019,1592,4144597,"19.24","38.41145472044688500000"
"AP",2012,253,698602,"14.69","36.21518403898070700000"
"AP",2013,225,734996,"13.42","30.61241149611698600000"
"AP",2014,256,750912,"14.68","34.09187761015938000000"
"AP",2015,293,766679,"16.67","38.21677651272566500000"
"AP",2016,381,782295,"17.66","48.70285506107031200000"
"AP",2017,383,797722,"20.83","48.01171335377487400000"
"AP",2018,426,829494,"17.02","51.35661017439547500000"
"AP",2019,361,845731,"13.43","42.68496720588461300000"
"BA",2012,6148,14175341,"18.51","43.37109068487311900000"
"BA",2013,5694,15044137,"15.93","37.84863166295281700000"
"BA",2014,6052,15126371,"15.15","40.00959648550204100000"
"BA",2015,6012,15203334,"14.82","39.54395792396588800000"
"BA",2016,7171,15276566,"16.33","46.94117774897840300000"
"BA",2017,7487,15344447,"22.1","48.79289556671543800000"
"BA",2018,6787,14812617,"17.66","45.81904737022499100000"
"BA",2019,6118,14873064,"18.49","41.13476550628707000000"
"CE",2012,3841,8606005,"16.85","44.63162640505089200000"
"CE",2013,4473,8778576,"16.35","50.95359429593136700000"
"CE",2014,4626,8842791,"14.67","52.31380002083052700000"
"CE",2015,4163,8904459,"15.32","46.75185769287050500000"
"CE",2016,3642,8963663,"16.77","40.63071090468260600000"
"CE",2017,5433,9020460,"17.08","60.22974438110695000000"
"CE",2018,4900,9075649,"17.21","53.99062921009836300000"
"CE",2019,2417,9132078,"18.63","26.46714143265092600000"
"DF",2012,954,2648532,"24.06","36.01995369510355200000"
"DF",2013,837,2789761,"20.71","30.00257011263688900000"
"DF",2014,843,2852372,"20.35","29.55434985338518300000"
"DF",2015,742,2914830,"21.34","25.45603002576479600000"
"DF",2016,760,2977216,"20.76","25.52720393817579900000"
"DF",2017,610,3039444,"22.55","20.06946007230269700000"
"DF",2018,530,2974703,"19.71","17.81690474645704100000"
"DF",2019,480,3015268,"17.94","15.91898298924009400000"
"ES",2012,1667,3578067,"12.02","46.58940148409741900000"
"ES",2013,1622,3839366,"12.82","42.24655841615516700000"
"ES",2014,1609,3885049,"12.99","41.41517906209162400000"
"ES",2015,1450,3929911,"13.24","36.89650987007084900000"
"ES",2016,1270,3973697,"13.6","31.96016203550497200000"
"ES",2017,1521,4016356,"13.34","37.87014896089888400000"
"ES",2018,1165,3972388,"13.6","29.32744736918951500000"
"ES",2019,1043,4018650,"14.35","25.95398952384507200000"
"GO",2012,2793,6154996,"11.1","45.37777116345810800000"
"GO",2013,2975,6434048,"10.52","46.23838678231806800000"
"GO",2014,2887,6523222,"10.18","44.25727041023592300000"
"GO",2015,2997,6610681,"10.02","45.33572259801978000000"
"GO",2016,3036,6695855,"10.74","45.34148364921283400000"
"GO",2017,2901,6778772,"11.31","42.79536175578703600000"
"GO",2018,2675,6921161,"11.04","38.64958494680300000000"
